project_id,district_code,intervention_id,partner,start_date,planned_end_date,actual_end_date,cost_usd,baseline_risk_score,total_delay_days,achieved_outcome_score,realized_risk_reduction,delivered_on_time,achieved_min_outcome,community_engagement_score,post_project_audit_score,post_project_satisfaction_score
P00177,D-111,I04,SolarRise Initiative,09-08-2021,19-04-2023,06-06-2023,1848600.0,46.36,48,54.87,0.467,0,1,60.33,77.47,57.53
P00178,D-116,I17,GreenPath Solutions,14-09-2023,05-07-2025,06-07-2025,1419800.0,42.87,1,86.12,0.427,1,1,55.5,85.66,43.86
P00179,D-091,I06,GreenPath Solutions,17-04-2021,15-10-2022,01-04-2023,1581300.0,92.08,168,60.25,0.223,0,1,79.95,76.93,48.68
P00180,D-058,I10,WaterFront Implementers,05-04-2023,16-01-2024,20-02-2024,1149300.0,81.3,35,74.91,0.185,0,1,76.64,74.15,81.78
P00181,D-011,I07,Horizon Resilience Group,03-08-2021,24-10-2022,17-04-2023,994200.0,79.67,175,88.88,0.343,0,1,55.23,73.19,51.12
P00182,D-100,I12,EcoTrust Consortium,07-05-2022,05-12-2023,25-05-2024,1920100.0,89.64,172,47.16,0.431,0,1,56.36,36.39,42.27
P00183,D-081,I02,Horizon Resilience Group,01-10-2021,11-08-2022,23-10-2022,1771800.0,48.64,73,33.72,0.403,0,0,57.47,54.73,57.63
P00184,D-109,I18,Horizon Resilience Group,31-01-2023,01-08-2024,30-09-2024,1375100.0,87.01,60,71.77,0.362,0,0,47.89,57.91,74.41
P00185,D-063,I11,EcoTrust Consortium,25-02-2021,07-08-2021,10-10-2021,667100.0,91.26,64,81.63,0.249,0,0,63.03,74.02,53.39
P00186,D-094,I18,SafeGround Co-op,21-07-2021,04-07-2022,17-09-2022,1232300.0,98.02,75,34.47,0.483,0,1,32.16,37.23,48.96
P00187,D-110,I05,GreenPath Solutions,22-08-2022,07-10-2023,08-10-2023,960300.0,81.87,1,39.29,0.119,1,1,28.05,86.28,65.78
P00188,D-116,I10,WaterFront Implementers,20-03-2023,17-08-2024,04-09-2024,2003300.0,58.75,18,43.2,0.133,1,0,55.31,57.88,61.85
P00189,D-120,I12,Horizon Resilience Group,24-06-2023,26-06-2024,12-12-2024,963300.0,61.29,169,43.11,0.389,0,1,84.8,80.3,84.06
P00190,D-044,I04,NovaBridge Partners,02-04-2022,03-05-2023,14-10-2023,1611500.0,76.65,164,87.53,0.357,0,1,79.96,86.97,54.29
P00191,D-113,I10,TerraBuild Collective,23-07-2023,01-06-2025,04-09-2025,1382900.0,70.02,95,59.21,0.183,0,1,44.22,39.53,39.8
P00192,D-090,I18,EcoTrust Consortium,08-01-2021,13-08-2021,05-10-2021,1741800.0,85.64,53,81.9,0.241,0,0,57.27,73.65,83.81
P00193,D-082,I14,AquaShield Foundation,04-02-2023,08-12-2023,14-12-2023,1256200.0,59.57,6,35.25,0.074,1,1,58.49,66.62,46.38
P00194,D-110,I14,SolarRise Initiative,07-04-2022,23-10-2023,10-02-2024,927700.0,62.98,110,37.1,0.053,0,1,28.79,76.03,37.28
P00195,D-118,I03,NovaBridge Partners,09-08-2023,03-06-2025,30-06-2025,866600.0,80.47,27,66.39,0.177,1,1,47.88,80.22,36.54
P00196,D-013,I18,Horizon Resilience Group,20-05-2021,21-11-2022,09-04-2023,878500.0,77.41,139,47.88,0.449,0,1,77.03,70.64,82.87
P00197,D-044,I18,EcoTrust Consortium,25-05-2021,25-02-2022,07-03-2022,211600.0,75.2,10,62.23,0.476,1,1,69.9,84.7,52.19
P00198,D-049,I17,GreenPath Solutions,14-06-2021,18-05-2022,13-07-2022,1618800.0,54.91,56,36.88,0.352,0,1,28.26,76.31,84.5
P00199,D-075,I15,EcoTrust Consortium,16-03-2021,06-06-2022,24-11-2022,354900.0,45.79,171,73.54,0.269,0,1,32.69,71.05,40.0
P00200,D-041,I03,Horizon Resilience Group,22-11-2021,31-08-2023,24-12-2023,955200.0,78.91,115,71.61,0.119,0,1,73.46,87.73,43.43
